Model,Index,Actual,Predicted
Bagging Regressor,56,14986,14918.7
Bagging Regressor,57,132745,136117.1
Bagging Regressor,58,89031,89252.9
Bagging Regressor,59,16729,16818.4
Bagging Regressor,60,441584,464302.2
Bagging Regressor,61,118294,116863.2
Bagging Regressor,62,56916,54787.5
Bagging Regressor,63,8937,8591.2
Bagging Regressor,64,35043,36377.5
Bagging Regressor,65,36532,34201.3
Bagging Regressor,66,74139,73818.6
Bagging Regressor,67,47125,47894.2
Bagging Regressor,68,16559,16583.3
Bagging Regressor,69,37950,38335.3
Bagging Regressor,70,65293,65974.1
Bagging Regressor,71,56319,57096.9
Bagging Regressor,72,392701,397221.5
Bagging Regressor,73,42144,41976.6
Bagging Regressor,74,30538,31613.4
Bagging Regressor,75,141490,126507.9
Bagging Regressor,76,55399,55855.6
Bagging Regressor,77,12787,12632.7
Bagging Regressor,78,23568,23886.9
Bagging Regressor,79,25326,25551.8
Bagging Regressor,80,43915,42449.0
Bagging Regressor,81,28862,27443.8
Bagging Regressor,82,7884,7785.1
Bagging Regressor,83,10654,10094.9
Bagging Regressor,84,98574,96392.9
Bagging Regressor,85,55798,56130.3
Bagging Regressor,86,27843,26342.6
Bagging Regressor,87,25252,26789.6
Bagging Regressor,88,13466,13079.6
Bagging Regressor,89,32606,32963.2
Bagging Regressor,90,9018,8817.9
Bagging Regressor,91,153960,153379.3
Bagging Regressor,92,49103,49826.2
Bagging Regressor,93,112864,118455.0
Bagging Regressor,94,18633,18400.5
Bagging Regressor,95,747112,741707.4
Bagging Regressor,96,240885,235970.2
Bagging Regressor,97,211566,192213.0
Bagging Regressor,98,80203,79887.2
Bagging Regressor,99,195769,180040.9
Decision Tree,0,55120,56854.0
Decision Tree,1,11426,11405.0
Decision Tree,2,78705,79107.0
Decision Tree,3,213236,217573.0
Decision Tree,4,33950,33708.0
Decision Tree,5,56950,56586.0
Decision Tree,6,281177,280755.0
Decision Tree,7,49999,50451.0
Decision Tree,8,24531,26265.0
Decision Tree,9,165349,162538.0
Decision Tree,10,35251,34972.0
Decision Tree,11,40555,37421.0
Decision Tree,12,20742,22818.0
Decision Tree,13,20872,21600.0
Decision Tree,14,38020,37905.0
Decision Tree,15,588702,594201.0
Decision Tree,16,8099,8074.0
Decision Tree,17,19492,19185.0
Decision Tree,18,140090,136804.0
Decision Tree,19,11849,12134.0
Decision Tree,20,19538,19568.0
Decision Tree,21,76804,76688.0
Decision Tree,22,113918,112118.0
Decision Tree,23,52957,58327.0
Decision Tree,24,288995,288247.0
Decision Tree,25,2832201,2827103.0
Decision Tree,26,22260,22260.0
Decision Tree,27,52793,52894.0
Decision Tree,28,16230,16758.0
Decision Tree,29,72950,71301.0
Decision Tree,30,17491,15942.0
Decision Tree,31,22027,22373.0
Decision Tree,32,25755,25807.0
Decision Tree,33,12370,13991.0
Decision Tree,34,30790,28448.0
Decision Tree,35,18470,18414.0
Decision Tree,36,10931,10984.0
Decision Tree,37,28056,28616.0
Decision Tree,38,45750,44850.0
Decision Tree,39,13708,13215.0
Decision Tree,40,159736,158937.0
Decision Tree,41,24140,24594.0
Decision Tree,42,12864,12025.0
Decision Tree,43,38702,38709.0
Decision Tree,44,426998,418784.0
Decision Tree,45,37357,37266.0
Decision Tree,46,57726,58150.0
Decision Tree,47,61903,62823.0
Decision Tree,48,81475,81947.0
Decision Tree,49,1059956,1172060.0
Decision Tree,50,4271,4356.0
Decision Tree,51,13355,13324.0
Decision Tree,52,46433,46578.0
Decision Tree,53,10063,9879.0
Decision Tree,54,16918,17070.0
Decision Tree,55,72480,71894.0
Decision Tree,56,14986,15095.0
Decision Tree,57,132745,137499.0
Decision Tree,58,89031,90538.0
Decision Tree,59,16729,16829.0
Decision Tree,60,441584,471915.0
Decision Tree,61,118294,120184.0
Decision Tree,62,56916,55759.0
Decision Tree,63,8937,8721.0
Decision Tree,64,35043,35203.0
Decision Tree,65,36532,33705.0
Decision Tree,66,74139,73129.0
Decision Tree,67,47125,51200.0
Decision Tree,68,16559,16897.0
Decision Tree,69,37950,38597.0
Decision Tree,70,65293,66089.0
Decision Tree,71,56319,57151.0
Decision Tree,72,392701,392472.0
Decision Tree,73,42144,42080.0
Decision Tree,74,30538,31682.0
Decision Tree,75,141490,123499.0
Decision Tree,76,55399,55768.0
Decision Tree,77,12787,12586.0
Decision Tree,78,23568,24392.0
Decision Tree,79,25326,25392.0
Decision Tree,80,43915,42052.0
Decision Tree,81,28862,28263.0
Decision Tree,82,7884,7899.0
Decision Tree,83,10654,10016.0
Decision Tree,84,98574,100381.0
Decision Tree,85,55798,55714.0
Decision Tree,86,27843,27891.0
Decision Tree,87,25252,26457.0
Decision Tree,88,13466,13011.0
Decision Tree,89,32606,32059.0
Decision Tree,90,9018,8708.0
Decision Tree,91,153960,152200.0
Decision Tree,92,49103,48545.0
Decision Tree,93,112864,119128.0
Decision Tree,94,18633,18225.0
Decision Tree,95,747112,743845.0
Decision Tree,96,240885,236861.0
Decision Tree,97,211566,187293.0
Decision Tree,98,80203,79706.0
Decision Tree,99,195769,181450.0
Extra Trees Regressor,0,55120,55309.66
Extra Trees Regressor,1,11426,11405.0
Extra Trees Regressor,2,78705,78969.2
Extra Trees Regressor,3,213236,220834.12
Extra Trees Regressor,4,33950,34082.16
Extra Trees Regressor,5,56950,57879.82
Extra Trees Regressor,6,281177,280742.96
Extra Trees Regressor,7,49999,50446.86
Extra Trees Regressor,8,24531,25729.23
Extra Trees Regressor,9,165349,163591.5
Extra Trees Regressor,10,35251,36795.36
Extra Trees Regressor,11,40555,37421.0
Extra Trees Regressor,12,20742,21886.53
Extra Trees Regressor,13,20872,21738.65
Extra Trees Regressor,14,38020,38003.28
Extra Trees Regressor,15,588702,595105.71
Extra Trees Regressor,16,8099,7833.12
Extra Trees Regressor,17,19492,19415.65
Extra Trees Regressor,18,140090,138829.16
Extra Trees Regressor,19,11849,12082.16
Extra Trees Regressor,20,19538,19360.86
Extra Trees Regressor,21,76804,76688.0
Extra Trees Regressor,22,113918,114889.28
Extra Trees Regressor,23,52957,57320.08
Extra Trees Regressor,24,288995,281061.15
Extra Trees Regressor,25,2832201,2699200.59
Extra Trees Regressor,26,22260,24522.92
Extra Trees Regressor,27,52793,53326.63
Extra Trees Regressor,28,16230,16782.36
Extra Trees Regressor,29,72950,72033.0
Extra Trees Regressor,30,17491,16118.62
Extra Trees Regressor,31,22027,21120.47
Extra Trees Regressor,32,25755,25789.78
Extra Trees Regressor,33,12370,14108.08
Extra Trees Regressor,34,30790,25100.92
Extra Trees Regressor,35,18470,18358.5
Extra Trees Regressor,36,10931,11255.4
Extra Trees Regressor,37,28056,28388.2
Extra Trees Regressor,38,45750,44798.23
Extra Trees Regressor,39,13708,13455.75
Extra Trees Regressor,40,159736,158937.0
Extra Trees Regressor,41,24140,24594.0
Extra Trees Regressor,42,12864,12388.84
Extra Trees Regressor,43,38702,38759.99
Extra Trees Regressor,44,426998,402898.22
Extra Trees Regressor,45,37357,37117.89
Extra Trees Regressor,46,57726,57346.76
Extra Trees Regressor,47,61903,62750.2
Extra Trees Regressor,48,81475,81781.45
Extra Trees Regressor,49,1059956,1172060.0
Extra Trees Regressor,50,4271,4278.09
Extra Trees Regressor,51,13355,13307.36
Extra Trees Regressor,52,46433,46219.44
Extra Trees Regressor,53,10063,9526.5
Extra Trees Regressor,54,16918,17002.52
Extra Trees Regressor,55,72480,74111.0
Extra Trees Regressor,56,14986,15211.97
Extra Trees Regressor,57,132745,137738.72
Extra Trees Regressor,58,89031,87694.18
Extra Trees Regressor,59,16729,16772.43
Extra Trees Regressor,60,441584,473927.31
Extra Trees Regressor,61,118294,116896.94
Extra Trees Regressor,62,56916,55640.4
Extra Trees Regressor,63,8937,9029.4
Extra Trees Regressor,64,35043,35945.52
Extra Trees Regressor,65,36532,34204.78
Extra Trees Regressor,66,74139,74175.48
Extra Trees Regressor,67,47125,51263.74
Extra Trees Regressor,68,16559,16702.87
Extra Trees Regressor,69,37950,38132.48
Extra Trees Regressor,70,65293,65926.82
Extra Trees Regressor,71,56319,56787.91
Extra Trees Regressor,72,392701,396797.75
Extra Trees Regressor,73,42144,42112.9
Extra Trees Regressor,74,30538,31681.59
Extra Trees Regressor,75,141490,129956.24
Extra Trees Regressor,76,55399,55619.5
Extra Trees Regressor,77,12787,12833.51
Extra Trees Regressor,78,23568,24321.32
Extra Trees Regressor,79,25326,25876.96
Extra Trees Regressor,80,43915,42342.7
Extra Trees Regressor,81,28862,27689.7
Extra Trees Regressor,82,7884,7799.68
Extra Trees Regressor,83,10654,10254.29
Extra Trees Regressor,84,98574,95053.69
Extra Trees Regressor,85,55798,55589.31
Extra Trees Regressor,86,27843,27390.33
Extra Trees Regressor,87,25252,26398.29
Extra Trees Regressor,88,13466,12991.34
Extra Trees Regressor,89,32606,32218.34
Extra Trees Regressor,90,9018,8873.68
Extra Trees Regressor,91,153960,152790.07
Extra Trees Regressor,92,49103,50163.72
Extra Trees Regressor,93,112864,119759.48
Extra Trees Regressor,94,18633,18741.37
Extra Trees Regressor,95,747112,743845.0
Extra Trees Regressor,96,240885,237580.82
Extra Trees Regressor,97,211566,200138.97
Extra Trees Regressor,98,80203,79706.0
Extra Trees Regressor,99,195769,183629.73
XGB Regressor,0,55120,58780.98828125
XGB Regressor,1,11426,9457.37890625
XGB Regressor,2,78705,80496.375
XGB Regressor,3,213236,205179.640625
XGB Regressor,4,33950,31604.8984375
XGB Regressor,5,56950,69650.0234375
XGB Regressor,6,281177,311705.96875
XGB Regressor,7,49999,41348.18359375
XGB Regressor,8,24531,30826.08984375
XGB Regressor,9,165349,168132.046875
XGB Regressor,10,35251,33549.09765625
XGB Regressor,11,40555,41721.0625
XGB Regressor,12,20742,33403.34765625
XGB Regressor,13,20872,23142.9375
XGB Regressor,14,38020,35720.61328125
XGB Regressor,15,588702,686651.5
XGB Regressor,16,8099,6629.60791015625
XGB Regressor,17,19492,22104.841796875
XGB Regressor,18,140090,131996.375
XGB Regressor,19,11849,15324.7880859375
XGB Regressor,20,19538,19910.15625
XGB Regressor,21,76804,73946.8984375
XGB Regressor,22,113918,116709.9296875
XGB Regressor,23,52957,64345.08203125
XGB Regressor,24,288995,243829.71875
XGB Regressor,25,2832201,2776939.5
XGB Regressor,26,22260,21261.904296875
XGB Regressor,27,52793,52770.265625
XGB Regressor,28,16230,12204.9755859375
XGB Regressor,29,72950,62675.9453125
XGB Regressor,30,17491,15866.7216796875
XGB Regressor,31,22027,24487.634765625
XGB Regressor,32,25755,22809.611328125
XGB Regressor,33,12370,10807.435546875
XGB Regressor,34,30790,34709.58203125
XGB Regressor,35,18470,20235.3046875
XGB Regressor,36,10931,15497.5810546875
XGB Regressor,37,28056,31756.451171875
XGB Regressor,38,45750,34757.04296875
XGB Regressor,39,13708,18956.908203125
XGB Regressor,40,159736,192250.078125
XGB Regressor,41,24140,20155.841796875
XGB Regressor,42,12864,9705.7734375
XGB Regressor,43,38702,37208.9609375
XGB Regressor,44,426998,433893.625
XGB Regressor,45,37357,37030.3984375
XGB Regressor,46,57726,72518.7890625
XGB Regressor,47,61903,65826.6953125
XGB Regressor,48,81475,87506.5390625
XGB Regressor,49,1059956,1026084.1875
XGB Regressor,50,4271,5714.15869140625
XGB Regressor,51,13355,16284.7607421875
XGB Regressor,52,46433,31843.33203125
XGB Regressor,53,10063,12606.23828125
XGB Regressor,54,16918,18434.1640625
XGB Regressor,55,72480,77954.046875
XGB Regressor,56,14986,14185.5234375
XGB Regressor,57,132745,131746.921875
XGB Regressor,58,89031,64175.375
XGB Regressor,59,16729,17164.5390625
XGB Regressor,60,441584,305434.71875
XGB Regressor,61,118294,126338.5
XGB Regressor,62,56916,73950.6328125
XGB Regressor,63,8937,10232.5771484375
XGB Regressor,64,35043,33856.13671875
XGB Regressor,65,36532,42546.171875
XGB Regressor,66,74139,56048.82421875
XGB Regressor,67,47125,64839.68359375
XGB Regressor,68,16559,13623.7685546875
XGB Regressor,69,37950,12656.7138671875
XGB Regressor,70,65293,58465.1953125
XGB Regressor,71,56319,46748.6015625
XGB Regressor,72,392701,397099.96875
XGB Regressor,73,42144,43638.28125
XGB Regressor,74,30538,38303.62890625
XGB Regressor,75,141490,131905.796875
XGB Regressor,76,55399,53338.94921875
XGB Regressor,77,12787,12691.8134765625
XGB Regressor,78,23568,25492.4609375
XGB Regressor,79,25326,27874.265625
XGB Regressor,80,43915,41750.15234375
XGB Regressor,81,28862,40085.203125
XGB Regressor,82,7884,11031.599609375
XGB Regressor,83,10654,10065.76953125
XGB Regressor,84,98574,95480.1484375
XGB Regressor,85,55798,57902.31640625
XGB Regressor,86,27843,26794.56640625
XGB Regressor,87,25252,29940.603515625
XGB Regressor,88,13466,12759.236328125
XGB Regressor,89,32606,31080.705078125
XGB Regressor,90,9018,10790.30859375
XGB Regressor,91,153960,193979.78125
XGB Regressor,92,49103,48250.703125
XGB Regressor,93,112864,106522.015625
XGB Regressor,94,18633,20638.025390625
XGB Regressor,95,747112,788588.6875
XGB Regressor,96,240885,226719.859375
XGB Regressor,97,211566,193014.28125
XGB Regressor,98,80203,96941.4921875
XGB Regressor,99,195769,189196.03125
Hist Gradient Boosting,0,55120,51455.596749887
Hist Gradient Boosting,1,11426,8559.320602779093
Hist Gradient Boosting,2,78705,100956.62560922425
Hist Gradient Boosting,3,213236,167109.28520443483
Hist Gradient Boosting,4,33950,33993.222568831705
Hist Gradient Boosting,5,56950,66100.0920044101
Hist Gradient Boosting,6,281177,261205.55085119375
Hist Gradient Boosting,7,49999,42563.54202618446
Hist Gradient Boosting,8,24531,32597.296006956232
Hist Gradient Boosting,9,165349,162550.1132696462
Hist Gradient Boosting,10,35251,33400.606300334206
Hist Gradient Boosting,11,40555,44281.85660310072
Hist Gradient Boosting,12,20742,25531.474895527528
Hist Gradient Boosting,13,20872,29924.831171114423
Hist Gradient Boosting,14,38020,32512.69943249309
Hist Gradient Boosting,15,588702,720157.6929508924
Hist Gradient Boosting,16,8099,12524.99457020967
Hist Gradient Boosting,17,19492,32682.29061209694
Hist Gradient Boosting,18,140090,133464.0558973621
Hist Gradient Boosting,19,11849,19515.134781277484
Hist Gradient Boosting,20,19538,18700.479171299085
Hist Gradient Boosting,21,76804,45626.796030016354
Hist Gradient Boosting,22,113918,123027.69167283716
Hist Gradient Boosting,23,52957,62255.42405921751
Hist Gradient Boosting,24,288995,222383.40638847623
Hist Gradient Boosting,25,2832201,2777751.833998979
Hist Gradient Boosting,26,22260,17921.16663304654
Hist Gradient Boosting,27,52793,51003.90720208101
Hist Gradient Boosting,28,16230,12630.667315747853
Hist Gradient Boosting,29,72950,70985.59663368991
Hist Gradient Boosting,30,17491,19324.82661327035
Hist Gradient Boosting,31,22027,25648.769666430395
Hist Gradient Boosting,32,25755,19029.762360832203
Hist Gradient Boosting,33,12370,12890.516002763346
Hist Gradient Boosting,34,30790,31007.54810281909
Hist Gradient Boosting,35,18470,30073.06606430409
Hist Gradient Boosting,36,10931,14904.301379760409
Hist Gradient Boosting,37,28056,40168.95227311415
Hist Gradient Boosting,38,45750,68578.21288029374
Hist Gradient Boosting,39,13708,27778.695771571558
Hist Gradient Boosting,40,159736,150517.65157683956
Hist Gradient Boosting,41,24140,20677.75761475682
Hist Gradient Boosting,42,12864,15829.93580445664
Hist Gradient Boosting,43,38702,38553.802356676184
Hist Gradient Boosting,44,426998,386732.30209115095
Hist Gradient Boosting,45,37357,37099.29564788198
Hist Gradient Boosting,46,57726,64696.676631350274
Hist Gradient Boosting,47,61903,81401.36501124152
Hist Gradient Boosting,48,81475,83080.29467576383
Hist Gradient Boosting,49,1059956,962089.7886215854
Hist Gradient Boosting,50,4271,7345.579232445636
Hist Gradient Boosting,51,13355,12050.210987123884
Hist Gradient Boosting,52,46433,43418.764206486194
Hist Gradient Boosting,53,10063,19322.33391881766
Hist Gradient Boosting,54,16918,15212.797200045556
Hist Gradient Boosting,55,72480,81408.04927605891
Hist Gradient Boosting,56,14986,17781.168515900998
Hist Gradient Boosting,57,132745,112796.5043210312
Hist Gradient Boosting,58,89031,70087.10633359668
Hist Gradient Boosting,59,16729,15540.085761573813
Hist Gradient Boosting,60,441584,301830.5187763264
Hist Gradient Boosting,61,118294,161299.99008263086
Hist Gradient Boosting,62,56916,68063.34768940271
Hist Gradient Boosting,63,8937,15437.94359615199
Hist Gradient Boosting,64,35043,35232.31403948892
Hist Gradient Boosting,65,36532,56354.60559830685
Hist Gradient Boosting,66,74139,58339.35781842473
Hist Gradient Boosting,67,47125,57047.05787051404
Hist Gradient Boosting,68,16559,16973.22667484093
Hist Gradient Boosting,69,37950,11530.219508487186
Hist Gradient Boosting,70,65293,54045.76494940704
Hist Gradient Boosting,71,56319,83625.17731569163
Hist Gradient Boosting,72,392701,318357.46992656373
Hist Gradient Boosting,73,42144,38580.830449749745
Hist Gradient Boosting,74,30538,41279.900327905
Hist Gradient Boosting,75,141490,133464.0558973621
Hist Gradient Boosting,76,55399,42462.221997986155
Hist Gradient Boosting,77,12787,26382.298906184602
Hist Gradient Boosting,78,23568,17878.656297446447
Hist Gradient Boosting,79,25326,24060.580770381723
Hist Gradient Boosting,80,43915,44791.88049490586
Hist Gradient Boosting,81,28862,42573.654502308986
Hist Gradient Boosting,82,7884,9758.74651790138
Hist Gradient Boosting,83,10654,9753.250153772691
Hist Gradient Boosting,84,98574,97167.22748309385
Hist Gradient Boosting,85,55798,72227.9289844823
Hist Gradient Boosting,86,27843,24260.353338339202
Hist Gradient Boosting,87,25252,40380.65920138224
Hist Gradient Boosting,88,13466,18059.8569664186
Hist Gradient Boosting,89,32606,46576.068462418734
Hist Gradient Boosting,90,9018,13345.360239356793
Hist Gradient Boosting,91,153960,179636.52907173432
Hist Gradient Boosting,92,49103,47466.862867561584
Hist Gradient Boosting,93,112864,126396.90332642995
Hist Gradient Boosting,94,18633,21681.37237630787
Hist Gradient Boosting,95,747112,747200.881189038
Hist Gradient Boosting,96,240885,211871.5548921616
Hist Gradient Boosting,97,211566,185144.04226361177
Hist Gradient Boosting,98,80203,105957.79222203705
Hist Gradient Boosting,99,195769,158947.78980918453
